Teneur en P2O5 (%),Teneur en CaO (%),Teneur en SiO2 (%),Humidité (%),Granulométrie (mm),Site d'extraction,Qualité du Phosphate
25.63,39.0,0.6,3.03,0.93,Sidi Chennane,Moyenne
31.24,32.6,3.07,14.22,0.42,Sidi Dawui,Moyenne
26.58,32.86,0.6,14.35,0.84,Sidi Chennane,Moyenne
32.1,50.49,0.6,8.46,0.51,Sidi Chennane,Moyenne
21.02,23.41,3.43,2.82,0.38,Sidi Chennane,Moyenne
30.37,27.31,0.5,8.75,1.63,Sidi Dawui,Moyenne
32.45,32.46,0.6,13.93,1.32,Sidi Chennane,Moyenne
39.48,48.95,1.64,5.67,0.48,Sidi Dawui,Haute
19.54,27.22,6.61,2.07,0.77,Sidi Chennane,Faible
37.44,49.92,0.5,10.41,1.28,Sidi Dawui,Haute
19.58,31.78,0.6,9.84,1.23,Sidi Chennane,Faible
28.26,30.21,6.86,0.02,1.42,Sidi Dawui,Moyenne
34.7,31.57,0.5,12.8,0.54,Sidi Dawui,Moyenne
15.09,20.0,2.83,9.91,1.33,Sidi Dawui,Faible
11.63,20.0,1.7,2.94,0.96,Sidi Chennane,Faible
27.38,27.08,0.5,0.05,1.85,Sidi Dawui,Moyenne
16.12,20.0,1.02,14.58,2.36,Sidi Chennane,Faible
35.36,27.11,2.19,11.32,11.28,Sidi Dawui,Haute
24.24,20.66,1.08,5.48,2.85,Sidi Dawui,Moyenne
19.65,25.15,3.93,6.49,1.11,Sidi Dawui,Faible
31.73,60.0,4.18,8.08,0.97,Sidi Chennane,Moyenne
21.08,31.41,0.6,10.78,0.47,Sidi Chennane,Moyenne
22.93,33.87,0.68,2.59,0.48,Sidi Chennane,Moyenne
19.53,20.0,5.21,2.94,1.24,Sidi Dawui,Faible
27.55,23.59,0.5,0.72,1.27,Sidi Dawui,Moyenne
23.2,40.6,0.6,14.79,8.51,Sidi Chennane,Moyenne
22.03,28.37,7.53,13.13,0.56,Sidi Dawui,Moyenne
